epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3220.74,0.61126,0.66289,0.79612,0.934,0.92532,0.95598,0.86079,0.47737,0.56084,0.7749,0.000742625,0.000742625,0.000742625
43,3295.83,0.57992,0.63231,0.80525,0.93397,0.93157,0.96306,0.84817,0.52481,0.54784,0.77307,0.00073025,0.00073025,0.00073025
44,3370.09,0.60806,0.66596,0.80534,0.95453,0.91121,0.96209,0.86152,0.4906,0.56205,0.77382,0.000717875,0.000717875,0.000717875
45,3446.08,0.56538,0.62785,0.80018,0.94212,0.92041,0.95792,0.8589,0.46473,0.56944,0.77072,0.0007055,0.0007055,0.0007055
46,3524.19,0.63061,0.69259,0.79699,0.95021,0.92486,0.96455,0.86374,0.48491,0.58874,0.77224,0.000693125,0.000693125,0.000693125
47,3600.36,0.5509,0.65348,0.79975,0.95815,0.93824,0.96637,0.88149,0.45858,0.53129,0.77083,0.00068075,0.00068075,0.00068075
48,3676.27,0.5724,0.61134,0.7951,0.94482,0.94055,0.96687,0.88605,0.42995,0.49903,0.7713,0.000668375,0.000668375,0.000668375
49,3751.83,0.56662,0.6793,0.79386,0.95142,0.93739,0.96551,0.85958,0.50696,0.50739,0.77327,0.000656,0.000656,0.000656
50,3827.65,0.56916,0.66088,0.79433,0.87317,0.87438,0.94374,0.8519,0.4649,0.62011,0.77086,0.000643625,0.000643625,0.000643625
51,3906.41,0.58392,0.60926,0.79413,0.84049,0.79334,0.89773,0.80115,0.46453,0.78636,0.77044,0.00063125,0.00063125,0.00063125
52,3977.39,0.53955,0.63958,0.79563,0.82303,0.88864,0.9402,0.84826,0.44486,0.62751,0.77096,0.000618875,0.000618875,0.000618875
53,4053.88,0.56303,0.61972,0.79615,0.89535,0.90117,0.94084,0.8348,0.52396,0.5839,0.77511,0.0006065,0.0006065,0.0006065
54,4135.56,0.55037,0.64219,0.7967,0.88757,0.88917,0.95406,0.85175,0.47877,0.5941,0.77323,0.000594125,0.000594125,0.000594125
55,4216.87,0.54192,0.58231,0.79508,0.86937,0.90489,0.95041,0.86551,0.44036,0.58591,0.77101,0.00058175,0.00058175,0.00058175
56,4297.69,0.50243,0.58833,0.79192,0.96809,0.91996,0.96076,0.85376,0.5273,0.49976,0.77575,0.000569375,0.000569375,0.000569375
57,4371.03,0.51334,0.57635,0.79481,0.95181,0.92627,0.96501,0.88688,0.42034,0.47985,0.7708,0.000557,0.000557,0.000557
58,4451.5,0.52695,0.57394,0.80043,0.95229,0.92839,0.96401,0.88908,0.4159,0.46273,0.76974,0.000544625,0.000544625,0.000544625
59,4522.1,0.54941,0.67494,0.7998,0.94587,0.90962,0.95984,0.88428,0.43707,0.4877,0.76908,0.00053225,0.00053225,0.00053225
60,4590.28,0.50582,0.60742,0.79393,0.93255,0.9179,0.965,0.89692,0.40557,0.486,0.76703,0.000519875,0.000519875,0.000519875
61,4659.18,0.52789,0.60863,0.7961,0.95422,0.94573,0.96825,0.89558,0.41925,0.46563,0.76768,0.0005075,0.0005075,0.0005075
62,4727.15,0.50594,0.60737,0.79231,0.96051,0.94898,0.97214,0.89623,0.40405,0.44222,0.7672,0.000495125,0.000495125,0.000495125
63,4797.92,0.5092,0.54477,0.78686,0.9606,0.94568,0.9731,0.8878,0.42437,0.46402,0.76787,0.00048275,0.00048275,0.00048275
64,4865.95,0.48418,0.56264,0.79287,0.95612,0.94028,0.97055,0.89804,0.40151,0.49773,0.7655,0.000470375,0.000470375,0.000470375
65,4934.2,0.51369,0.54415,0.79025,0.9313,0.92261,0.96695,0.87578,0.44519,0.53676,0.76742,0.000458,0.000458,0.000458
66,5002.95,0.51954,0.57676,0.78994,0.9752,0.93811,0.97022,0.89825,0.42577,0.46568,0.76741,0.000445625,0.000445625,0.000445625
67,5076.85,0.49068,0.58286,0.79391,0.95667,0.93451,0.97338,0.88878,0.42378,0.48213,0.76806,0.00043325,0.00043325,0.00043325
68,5149.13,0.52465,0.57418,0.79769,0.87493,0.89773,0.95322,0.87753,0.40151,0.605,0.767,0.000420875,0.000420875,0.000420875
69,5223.34,0.48838,0.5305,0.78936,0.92594,0.92115,0.96933,0.88166,0.41542,0.53976,0.76822,0.0004085,0.0004085,0.0004085
70,5295.94,0.52482,0.57129,0.78778,0.95341,0.91737,0.96639,0.89998,0.40192,0.47196,0.76637,0.000396125,0.000396125,0.000396125
71,5375.76,0.51688,0.5277,0.78792,0.91732,0.88156,0.94904,0.87948,0.40439,0.53876,0.76644,0.00038375,0.00038375,0.00038375
72,5451.6,0.50819,0.57325,0.79264,0.97417,0.9126,0.96666,0.90345,0.38113,0.46241,0.76544,0.000371375,0.000371375,0.000371375
73,5525.66,0.49002,0.54664,0.791,0.96368,0.94523,0.97326,0.90301,0.38783,0.44708,0.76465,0.000359,0.000359,0.000359
74,5599.43,0.49817,0.56228,0.79668,0.94916,0.92437,0.9698,0.90372,0.37329,0.49112,0.76603,0.000346625,0.000346625,0.000346625
75,5675.44,0.48715,0.52575,0.79404,0.9504,0.91118,0.96848,0.89546,0.38808,0.5155,0.76721,0.00033425,0.00033425,0.00033425
76,5747.16,0.44328,0.49796,0.78572,0.9499,0.9254,0.96585,0.89931,0.37242,0.50752,0.76644,0.000321875,0.000321875,0.000321875
77,5823.05,0.45836,0.51713,0.78584,0.96334,0.92838,0.96239,0.89225,0.39113,0.48344,0.76713,0.0003095,0.0003095,0.0003095
78,5900.7,0.46879,0.50386,0.79376,0.9687,0.93856,0.96969,0.90787,0.36616,0.45999,0.76567,0.000297125,0.000297125,0.000297125
79,5970.75,0.45655,0.50741,0.787,0.96433,0.93786,0.97091,0.90165,0.39497,0.46448,0.76666,0.00028475,0.00028475,0.00028475
80,6039.72,0.42741,0.47416,0.78438,0.94815,0.91244,0.96577,0.90773,0.36592,0.47038,0.76465,0.000272375,0.000272375,0.000272375
81,6111.26,0.44601,0.47086,0.78683,0.92099,0.9141,0.95704,0.87969,0.41428,0.49551,0.76577,0.00026,0.00026,0.00026
82,6187.25,0.47514,0.5262,0.78988,0.96886,0.92796,0.9669,0.90536,0.35818,0.46766,0.76438,0.000247625,0.000247625,0.000247625
83,6255.09,0.46315,0.48847,0.79462,0.96075,0.93672,0.969,0.90715,0.36101,0.45565,0.76449,0.00023525,0.00023525,0.00023525
84,6334.2,0.44374,0.45431,0.78751,0.96069,0.9288,0.97187,0.91024,0.35885,0.43709,0.76417,0.000222875,0.000222875,0.000222875
